,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,0,0,0,0,0,punta arenas,90,PH,1579714331,92,8.99,125.34,72.72,1.41
1,1,1,1,1,1,rikitea,0,PF,1579714332,80,-23.12,-134.97,78.06,12.53
2,2,2,2,2,2,atuona,33,PF,1579714332,75,-9.8,-139.03,80.82,13.38
3,3,3,3,3,3,skibbereen,75,IE,1579714108,87,51.55,-9.27,50.0,4.7
4,4,4,4,4,4,mwense,100,ZM,1579714332,98,-10.38,28.7,67.77,2.26
5,5,5,5,5,5,nikolskoye,75,RU,1579714333,61,59.7,30.79,32.0,15.66
6,6,6,6,6,6,avarua,100,CK,1579714333,88,-21.21,-159.78,80.6,11.41
7,7,7,7,7,7,jamestown,1,US,1579714333,62,42.1,-79.24,30.99,8.05
8,8,8,8,8,8,tuktoyaktuk,90,CA,1579714333,75,69.45,-133.04,-14.8,9.17
9,9,9,9,9,9,awbari,0,LY,1579714333,32,26.59,12.78,57.87,8.99
10,10,10,10,10,10,port-gentil,40,GA,1579714333,79,-0.72,8.78,86.0,8.05
11,11,11,11,11,11,longyearbyen,0,SJ,1579714107,77,78.22,15.64,-2.2,3.36
12,12,12,12,12,12,itoman,75,JP,1579714333,77,26.12,127.67,66.2,4.7
13,13,13,13,13,13,mataura,57,NZ,1579714334,88,-46.19,168.86,57.0,11.01
14,14,14,14,14,14,bluff,83,NZ,1579714334,88,-46.6,168.33,57.0,11.01
15,15,15,15,15,15,qaanaaq,1,GL,1579714334,51,77.48,-69.36,-11.87,7.61
16,16,16,16,16,16,ushuaia,75,AR,1579714099,54,-54.8,-68.3,53.6,6.93
17,17,17,17,17,17,hobart,90,AU,1579714334,93,-42.88,147.33,57.2,5.82
18,18,18,18,18,18,hilo,75,US,1579714334,64,19.73,-155.09,68.0,6.93
19,19,19,19,19,19,pisco,90,PE,1579714122,30,-13.7,-76.22,73.99,6.93
20,20,20,20,20,20,port alfred,84,CD,1579714335,75,-7.03,29.76,76.51,0.74
21,21,21,21,21,21,khatanga,49,RU,1579714335,86,71.97,102.5,-35.25,6.46
22,22,22,22,22,22,ahipara,24,NZ,1579713783,100,-35.17,173.17,55.99,6.2
23,23,23,23,23,23,chinsali,100,ZM,1579714335,99,-10.54,32.08,65.53,3.74
24,24,24,24,24,24,chokurdakh,98,RU,1579714335,99,70.63,147.92,-32.67,8.32
25,25,25,25,25,25,malakal,62,SS,1579714032,13,9.53,31.66,75.02,7.36
26,26,26,26,26,26,danielskuil,35,ZA,1579714335,18,-28.19,23.54,76.66,10.56
27,27,27,27,27,27,hermanus,49,ZA,1579714335,73,-34.42,19.23,71.01,5.99
28,28,28,28,28,28,tasiilaq,90,GL,1579713759,85,65.61,-37.64,24.8,13.87
29,29,29,29,29,29,saskylakh,0,RU,1579714103,93,71.92,114.08,-39.96,7.96
30,30,30,30,30,30,georgetown,20,MY,1579714304,83,5.41,100.34,82.4,3.58
31,31,31,31,31,31,east london,89,IS,1579714336,93,65.0,-15.0,46.4,31.09
32,32,32,32,32,32,lompoc,90,US,1579713847,87,34.64,-120.46,62.01,4.7
33,33,33,33,33,33,zyryanka,84,RU,1579714336,96,65.75,150.85,-30.21,4.76
34,34,34,34,34,34,barrow,20,US,1579713835,83,71.29,-156.79,-5.8,6.93
35,35,35,35,35,35,flin flon,0,FR,1579713845,86,48.5,6.66,32.0,7.18
36,36,36,36,36,36,mtwara,75,TZ,1579714336,94,-10.27,40.18,78.8,2.73
37,37,37,37,37,37,fortuna,90,US,1579714014,66,40.6,-124.16,53.01,4.7
38,38,38,38,38,38,albany,75,US,1579714051,63,42.6,-73.97,36.0,8.05
39,39,39,39,39,39,bredasdorp,85,ZA,1579714337,64,-34.53,20.04,68.0,13.87
40,40,40,40,40,40,pevek,100,RU,1579714337,97,69.7,170.31,-13.36,2.51
41,41,41,41,41,41,gold coast,1,US,1579714337,32,35.79,-81.76,43.0,4.83
42,42,42,42,42,42,san cristobal,67,ML,1579714202,15,13.3,-4.9,91.0,7.2
43,43,43,43,43,43,hithadhoo,51,MV,1579714337,79,-0.6,73.08,84.45,19.37
44,44,44,44,44,44,cidreira,100,BR,1579713843,75,-30.18,-50.21,73.27,18.54
45,45,45,45,45,45,norman wells,90,US,1579713962,100,35.22,-97.44,39.99,20.8
46,46,46,46,46,46,nanortalik,89,GL,1579714337,69,60.14,-45.24,26.65,31.94
47,47,47,47,47,47,mar del plata,75,ES,1579714337,93,43.4,-4.01,48.2,2.24
48,48,48,48,48,48,castro,100,BR,1579714338,97,-24.79,-50.01,59.77,7.09
49,49,49,49,49,49,touros,40,BR,1579714032,62,-5.2,-35.46,87.8,12.75
50,50,50,50,50,50,cabras,32,IT,1579714338,75,39.93,8.53,53.01,8.99
51,51,51,51,51,51,yangshe,100,CN,1579714338,99,31.89,120.61,48.0,6.26
